"id","name","tag_id","periodo","descripcion","marca","ean","codigo_ref_proveedor","proveedor","trazabilidad_levantamiento","actor_relevante","origen","eye","raee","pilas","neumaticos","baterias","aceite_y_lubrcante","textil","stage_id"
"__export__.x_productos_487_dab3e5dd","20456088","P2021,P2022","2021,2022","PACK 5 CALCETIN DAMA","ALLBASICS","2200204560883","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_489_21e8ac0d","20456091","P2021,P2022","2021,2022","PACK 10 CALCETIN SOLID HOMBRE","ALLBASICS","2200204560913","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_490_7f57e263","20456092","P2021,P2022,P2023","2021,2022,2023","PACK 3 CALCETIN DAMA","ALLBASICS","2200204560920","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_491_54a0d88a","20456093","P2021,P2022","2021,2022","PACK 3 CALCETIN DAMA","ALLBASICS","2200204560937","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_492_76e7fcb7","20456094","P2021,P2022","2021,2022","PACK 3 CALCETIN DAMA","ALLBASICS","2200204560944","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_493_fed743e2","20456095","P2021,P2022","2021,2022","PACK 3 CALCETIN DAMA","ALLBASICS","2200204560951","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_494_9d773523","20456096","P2021,P2022","2021,2022","PACK 3 CALCETIN DAMA","ALLBASICS","2200204560968","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_495_72114f8c","20456097","P2021,P2022","2021,2022","PACK 5 CALCETIN C/ENTERO HOMBRE","ALLBASICS","2200204560975","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_498_37efbd72","20456101","P2021,P2022","2021,2022","PACK 3 CALCETIN HOMBRE BAMBOO MODA","ALLBASICS","2200204561019","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_500_dc7aa23d","20456103","P2021,P2022","2021,2022","PACK 3 MEDIA LABRADA HOMBRE","ALLBASICS","2200204561033","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_501_e4fde971","20456104","P2021,P2022","2021,2022","PACK 3 MEDIA LABRADA HOMBRE","ALLBASICS","2200204561040","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_502_1532b0f7","20456105","P2021,P2022","2021,2022","PACK 3 MEDIA LABRADA HOMBRE","ALLBASICS","2200204561057","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_511_fea7a94c","20456129","P2021,P2022,P2023","2021,2022,2023","PACK 3 MEDIA NO","ALLBASICS","2200204561293","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_517_cd928570","20456135","P2021,P2022,P2023","2021,2022,2023","PACK 5 MEDIA DIEÑO NO (2-8)","ALLBASICS","2200204561354","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_520_b3b6364f","20456142","P2021,P2022","2021,2022","PACK 10  BIKINI DAMA","ALLBASICS","2200204561422","65599","XIAMEN JINMAO LOGISTICS CO.,LTD","VESTUARIO/XIAMEN JINMAO LOGISTICS CO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_523_7caa2370","20456145","P2021,P2022","2021,2022","PACK 5 BIKINI NIÑAS (2-8)","ALLBASICS","2200204561453","65599","XIAMEN JINMAO LOGISTICS CO.,LTD","VESTUARIO/XIAMEN JINMAO LOGISTICS CO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_524_ec5728d1","20456146","P2021,P2022","2021,2022","PACK 5 BIKINI DAMA","ALLBASICS","2200204561460","65599","XIAMEN JINMAO LOGISTICS CO.,LTD","VESTUARIO/XIAMEN JINMAO LOGISTICS CO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_525_cd30f669","20456147","P2021,P2022","2021,2022","PACK 5 BIKINI DAMA","ALLBASICS","2200204561477","65599","XIAMEN JINMAO LOGISTICS CO.,LTD","VESTUARIO/XIAMEN JINMAO LOGISTICS CO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_526_6efd3fcb","20456148","P2021,P2022","2021,2022","PACK 3 SLIP NO","ALLBASICS","2200204561484","65599","XIAMEN JINMAO LOGISTICS CO.,LTD","VESTUARIO/XIAMEN JINMAO LOGISTICS CO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_529_87f2c7d5","20456151","P2021,P2022","2021,2022","PACK 3 BIKINI TA","ALLBASICS","2200204561514","65599","XIAMEN JINMAO LOGISTICS CO.,LTD","VESTUARIO/XIAMEN JINMAO LOGISTICS CO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_532_43742dc6","20456154","P2021,P2022","2021,2022","PACK 3 BIKINI DAMA","ALLBASICS","2200204561545","65599","XIAMEN JINMAO LOGISTICS CO.,LTD","VESTUARIO/XIAMEN JINMAO LOGISTICS CO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_534_938d80cb","20456156","P2021,P2022","2021,2022","PACK 3 BIKINI DAMA","ALLBASICS","2200204561569","65599","XIAMEN JINMAO LOGISTICS CO.,LTD","VESTUARIO/XIAMEN JINMAO LOGISTICS CO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_535_c8883e2f","20456157","P2021,P2022","2021,2022","PACK 3 BIKINI DAMA","ALLBASICS","2200204561576","65599","XIAMEN JINMAO LOGISTICS CO.,LTD","VESTUARIO/XIAMEN JINMAO LOGISTICS CO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_536_92cbeaf6","20456158","P2021,P2022,P2023","2021,2022,2023","PACK 3 BIKINI DAMA","ALLBASICS","2200204561583","65599","XIAMEN JINMAO LOGISTICS CO.,LTD","VESTUARIO/XIAMEN JINMAO LOGISTICS CO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_538_a4045586","20456160","P2021,P2022","2021,2022","PACK 3 BIKINI DAMA","ALLBASICS","2200204561606","65599","XIAMEN JINMAO LOGISTICS CO.,LTD","VESTUARIO/XIAMEN JINMAO LOGISTICS CO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_541_c4c7af80","20456164","P2021,P2022","2021,2022","PACK 3 BIKINI NA","ALLBASICS","2200204561644","65599","XIAMEN JINMAO LOGISTICS CO.,LTD","VESTUARIO/XIAMEN JINMAO LOGISTICS CO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_551_9ff7ef13","20460504","P2021,P2022","2021,2022","BABY SOFT PANTUFLA","ALLBASICS","2200204605041","40302","GOLDEN MUTUAL (G.Z.) LTD","VESTUARIO/GOLDEN MUTUAL (G.Z.) LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_553_2a24da7c","20460505","P2021,P2022","2021,2022","BABY SOFT PANTUFLA","ALLBASICS","2200204605058","40302","GOLDEN MUTUAL (G.Z.) LTD","VESTUARIO/GOLDEN MUTUAL (G.Z.) LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_561_c93afbcd","20460509","P2021,P2022","2021,2022","BABY ZAPATO FLECO","ALLBASICS","2200204605096","40302","GOLDEN MUTUAL (G.Z.) LTD","VESTUARIO/GOLDEN MUTUAL (G.Z.) LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_563_6642a9fa","20460510","P2021,P2022","2021,2022","BABY ZAPATO FLECO","ALLBASICS","2200204605102","40302","GOLDEN MUTUAL (G.Z.) LTD","VESTUARIO/GOLDEN MUTUAL (G.Z.) LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_565_db8d443b","20460511","P2021,P2022","2021,2022","BABY ZAPATO FLECO","ALLBASICS","2200204605119","40302","GOLDEN MUTUAL (G.Z.) LTD","VESTUARIO/GOLDEN MUTUAL (G.Z.) LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_568_c4a4fd9d","20460512","P2021,P2022","2021,2022","BABY ZAPATO FLECO","ALLBASICS","2200204605126","40302","GOLDEN MUTUAL (G.Z.) LTD","VESTUARIO/GOLDEN MUTUAL (G.Z.) LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_570_761a0940","20468122","P2021,P2022","2021,2022","PACK 2 BOXER CARS NO 2","DISNEY","2200204681229","1000131511","1010 SAC","VESTUARIO/1010 SAC","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_572_f4d2cd8c","20468124","P2021,P2022","2021,2022","PACK 2 BOXER TOYSTORY NO","DISNEY","2200204681243","1000131511","1010 SAC","VESTUARIO/1010 SAC","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_573_dc2ed480","20468125","P2021,P2022","2021,2022","PACK 2 BOXER AVENGERS TO","MARVEL","2200204681250","1000131511","1010 SAC","VESTUARIO/1010 SAC","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_579_4fafbd53","20468131","P2021,P2022","2021,2022","PACK 3 SLIP MICKEY NO","DISNEY","2200204681311","1000131511","1010 SAC","VESTUARIO/1010 SAC","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_582_9d11fa19","20468134","P2021,P2022","2021,2022","PACK 3 SLIP TOYSTORY NO","DISNEY","2200204681342","1000131511","1010 SAC","VESTUARIO/1010 SAC","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_583_7c7a4cbc","20469043","P2021,P2022","2021,2022","PACK 3 BIKINI NA","ALLBASICS","2200204690436","1000131511","1010 SAC","VESTUARIO/1010 SAC","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_585_13117caf","20469045","P2021,P2022","2021,2022","PACK 3 BIKINI NA","ALLBASICS","2200204690450","1000131511","1010 SAC","VESTUARIO/1010 SAC","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_587_af213581","20469047","P2021,P2022","2021,2022","PACK 3 BIKINI TA","ALLBASICS","2200204690474","1000131511","1010 SAC","VESTUARIO/1010 SAC","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_588_06573734","20469048","P2021,P2022,P2023","2021,2022,2023","PACK 3 SLIP","ALLBASICS","2200204690481","1000131511","1010 SAC","VESTUARIO/1010 SAC","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_589_aa04e81f","20469049","P2021,P2022","2021,2022","PACK 3 SLIP","ALLBASICS","2200204690498","1000131511","1010 SAC","VESTUARIO/1010 SAC","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_590_c4a5998f","20469050","P2021,P2022","2021,2022","PACK 2 BOXER TO","CHEROKEE","2200204690504","1000131511","1010 SAC","VESTUARIO/1010 SAC","Litzi Gordils","IMPORTADO","True","","","","","","True","Completado"
"__export__.x_productos_591_6e22a4ee","20469051","P2021,P2022","2021,2022","PACK 2 BOXER TO","CHEROKEE","2200204690511","1000131511","1010 SAC","VESTUARIO/1010 SAC","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_592_b0a8e879","20469052","P2021,P2022","2021,2022","PACK 2 BOXER NO","CHEROKEE","2200204690528","1000131511","1010 SAC","VESTUARIO/1010 SAC","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1395_824525e4","20406796","P2021,P2023","2021,2023","(D)CAJA DE HERRAMIENTAS 8PZS","HOMPOWER MAISON","2200204067962","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1424_e2f8582a","20432986","P2021","2021","PR SET 4 CINTAS ADHES TRANSPARENTES 1.8CM OFISCOOL","OFISCOOL","2200204329862","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1425_c496503b","20366863","P2021","2021","(D)PRG SET 3 WASHI TAPE","OFISCOOL GIRLS","2200203668634","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1427_ce3d74e8","20397102","P2021","2021","(D)SET 3 WASHI TAPE UNICORNIO","OFISCOOL GIRLS","2200203971024","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1431_782d3925","20432982","P2021","2021","PR COLA FRIA 250 ML OFISCOOL","OFISCOOL","2200204329824","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1435_ac1ad623","20455589","P2021,P2022,P2023","2021,2022,2023","PR SET 2 CORRECTOR CINTA OFISCOOL 2021","OFISCOOL","2200204555896","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","True","Completado"
"__export__.x_productos_1498_9ddc964e","20455558","P2021,P2022","2021,2022","BLOCK DE HOJAS COLORES DIBUJO A4 50H 2021","OFISCOOL","2200204555582","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1526_c32ccbd8","20456462","P2021,P2022,P2023","2021,2022,2023","MPR SET ESCOLAR 6 PIEZAS DESTACADOR 2021","OFISCOOL","2200204564621","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1562_d0b64de2","20434437","P2021","2021","SET DE 3 MALETAS MORADAS 4 RUEDAS","DORSAY","2200204344377","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1563_50ab6a43","20434434","P2021","2021","SET DE 3 MALETAS NEGRAS 4 RUEDAS","DORSAY","2200204344346","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1564_9e822a96","20434435","P2021","2021","SET DE 3 MALETAS ROJAS 4 RUEDAS","DORSAY","2200204344353","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1565_08dee49b","20434436","P2021","2021","SET DE 3 MALETAS AZULES 4 RUEDAS","DORSAY","2200204344360","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1574_a1be66b0","20433240","P2021","2021","MOCHILA INFANTIL UNICORNIO","DORSAY","2200204332404","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1575_6db0ac54","20433237","P2021","2021","MOCHILA INFANTIL TIBURON","DORSAY","2200204332374","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1576_268fe493","20433238","P2021","2021","MOCHILA INFANTIL DINO","DORSAY","2200204332381","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1577_df603ccb","20433239","P2021","2021","MOCHILA INFANTIL GATO","DORSAY","2200204332398","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1584_75eaec84","20433233","P2021","2021","MOCHILA REGULAR NEGRA","DORSAY","2200204332336","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1585_a5029344","20433234","P2021","2021","MOCHILA REGULAR CORAL","DORSAY","2200204332343","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1586_a0e30d27","20433235","P2021","2021","MOCHILA REGULAR AZUL (NAVY)","DORSAY","2200204332350","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","True","Completado"
"__export__.x_productos_1587_a4ddee2e","20402904","P2021","2021","(D)MOCHILA JUVENIL VERDE OSCURO","DORSAY","2200204029045","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_1588_ecbdf5bc","20402903","P2021","2021","(D)MOCHILA JUVENIL GRIS","DORSAY","2200204029038","","REDFIELD GROUP CO. LTD.","FERR-LIB-AUT/REDFIELD GROUP CO. LTD.","Kattya Silva","IMPORTADO","True","","","","","","","Completado"
