"id","x_name","x_studio_tag_ids","x_studio_periodo","x_studio_descripcion","x_studio_marca","x_studio_ean","x_color","x_studio_proveedor","x_studio_trazabilidad_levantamiento","x_studio_actor_relevante","x_studio_sin_ficha","x_studio_eye","x_studio_raee","x_studio_pilas","x_studio_neumaticos","x_studio_baterias","x_studio_aceites_y_lubricantes","x_studio_textil","x_studio_stage_id"
"__export__.x_productos_12111_433c0e41","105887","OFICINA Y LIBRERIA","","PINCEL RED PELO CAMELLO MANGO MADER Nº12","FULTONS","4147817302005","0","","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12130_dfa7fce5","497703","OFICINA Y LIBRERIA","2022","PINCEL N12 REDONDO MANGO PLASTICO","ART & CRAF","3100291661731","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12155_4c432b99","451843","JUGUETERIA","2022,2023","SET WALKIE TALKIE SPIDERMAN MARVEL","MARVEL","","0","FORCE LINK (CHINA) LTD. SHANTOU YIFENG TRADING DEVELOPMENT","","Carolina Vega","True","True","","","","","","","No completado - En revisión"
"__export__.x_productos_12165_955d328b","497705","OFICINA Y LIBRERIA","2022,2023","PINCEL N10 REDONDO MANGO PLASTICO","ART & CRAF","3100291108380","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12186_8a6adc8b","524135","OFICINA Y LIBRERIA","2022,2023","MARCADOR PERM DOBLE PUNTA NEGRO         ","LAVORO","3100290570263","0","WENZHOU ZHONGRUI STATIONERY CO., LTD","PRONOBEL/WENZHOU ZHONGRUI STATIONERY CO., LTD","Sahira Aguado","","True","","","","","","","Completado"
"__export__.x_productos_12194_f4f83d70","393372","OFICINA Y LIBRERIA","2022,2023","PINCEL RED PELO CAMELLO MANGO MADERA Nº2","MURANO","3100853933726","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_12195_7326eee6","393382","OFICINA Y LIBRERIA","2023","PINCEL RED PELO CAMELLO MANGO MADERA Nº7","MURANO","3100853933825","0","","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_12238_9cf7d6fc","497713","OFICINA Y LIBRERIA","2022,2023","PINCEL N2 REDONDO MANGO PLASTICO","ART & CRAF","3100287465572","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12259_b970d13c","394556","OFICINA Y LIBRERIA","","SACAPUNTA PLAST S/DEP RECTANGULAR       ","MURANO","3100003945562","0","NINGBO JOHNSHEN STATIONERY CO., LTD.","PRONOBEL/NINGBO JOHNSHEN STATIONERY CO., LTD.","Paola Mena","","","","","","","","","Completado"
"__export__.x_productos_12264_67158308","497985","OFICINA Y LIBRERIA","2022,2023","MARCADOR PIZARRA RECARGABLE VERDE","LAVORO","3100266215587","0","NINGBO BAILE STATIONERY MANUFACTURE CO., LTD.","PRONOBEL/NINGBO BAILE STATIONERY MANUFACTURE CO., LTD.","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_12275_f79bc452","462767","OFICINA Y LIBRERIA","2022","CORRECTOR LIQ. LAPIZ 4ML PTA. METALICA A","LAVORO","","0","DESCONTINUADO","","Sahira Aguado","True","","","","","","","","Completado"
"__export__.x_productos_12317_bc424c38","417359","OFICINA Y LIBRERIA","2022,2023","REGLA ACRILICA 40 CMS BOLSA C/HEADER","FULTONS","3100004173599","0","TIANJIN ZHONGRUI STATIONERY PRODUCTS","PRONOBEL/TIANJIN ZHONGRUI STATIONERY PRODUCTS","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12335_f5adb9be","100639","OFICINA Y LIBRERIA","2022,2023","CARPETA VINIL CTA C/ACCO AZUL","FULTONS","4147315000014","0","WENZHOU MIFIA IMP. & EXP. CO., LTD","PRONOBEL/WENZHOU MIFIA IMP. & EXP. CO., LTD","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_12346_1c34a9ba","409201","OFICINA Y LIBRERIA","2023","PINCEL PELO CAM BLISTER 4 PC Nº4-6-8-10 ","MURANO","3100004092012","0","","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_12359_3115a798","497692","OFICINA Y LIBRERIA","2022,2023","PINCEL N10 PELO DE CAMELLO MANGO DE MADE","ART & CRAF","3100205974933","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12361_457f43c0","462997","OFICINA Y LIBRERIA","2022","SACAPUNTA PLAST CON DEPOSITO 1 ORIFICIO","ART & CRAF","","0","NINGBO ANDY AND KEVIN IMPORT AND EXPORT","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12362_7679f6cb","497704","OFICINA Y LIBRERIA","2022,2023","PINCEL N11 REDONDO MANGO PLASTICO","ART & CRAF","3100291114749","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12368_db6ba7e4","519610","COTILLON","","BOLSA REG.NAVIDAD KRAFT MEDIANA 23X17x10","NOBEL GIFT","3100005196108","0","","","Constanza Gaete","True","True","","","","","","","Completado"
"__export__.x_productos_12378_adb2e317","519604","COTILLON","2022","BOLSA REG.NAVIDAD MEDIANA 23X17x10 CM","NOBEL GIFT","3100005196047","0","AG IMP & EXP","","Constanza Gaete","True","True","","","","","","","Completado"
"__export__.x_productos_12421_e9eff832","412848","OFICINA Y LIBRERIA","2022,2023","TIJERA ESCOLAR P/ZURDOS","FULTONS","3100004128483","0","GANGRONG INDUSTRY TRADING CO LTD","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12423_a5ab2ab7","445080","COTILLON","2022,2023","ADORNO DIECIOCHERO CAMPANA GRANDE 33CM C","BIG PARTY","","0","FESTA","PRONOBEL/FESTA","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_12433_c1081864","448367","OFICINA Y LIBRERIA","","SACAPUNTA PLAST S/DEP OVALADO","ART & CRAF","3100004483674","0","","","Paola Mena","True","","","","","","","","Completado"
"__export__.x_productos_12436_db044a18","393375","OFICINA Y LIBRERIA","2023","PINCEL RED PELO CAMELLO MANGO MADERA Nº5","MURANO","3100853933757","0","","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_12461_201571e4","506861","OFICINA Y LIBRERIA","2022,2023","TIJERA ESC 5 1/2IN COL PASTEL MANGO ERGO","LAVORO","3100234570298","0","GANGRONG INDUSTRY TRADING CO LTD","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12493_256d130b","517536","JUGUETERIA","2022","SET BASKETBALL SPIDERMAN MARVEL","MARVEL","3100005175363","0","FORCE LINK (CHINA) LTD. SHANTOU YIFENG TRADING DEVELOPMENT","","Carolina Vega","True","True","","","","","","","Completado"
"__export__.x_productos_12526_ddaec6b3","453995","OFICINA Y LIBRERIA","2022,2023","SOBRE VISITA 80X115MM BLANCO 50UND 80GR","FULTONS","3100004539951","0","GRAFI PAPEL S.A.","","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_12548_826d1505","452731","OFICINA Y LIBRERIA","2022,2023","SOBRE DIANA 136X93MM BLANCO 50UN FULTONS","FULTONS","","0","GRAFI PAPEL S.A.","","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_12578_63e998b6","103055","OFICINA Y LIBRERIA","2022","SACAPUNTA MET SIMPLE RECTANGULAR 1 ORIF","FULTONS","4100018451002","0","NINGBO ANDY AND KEVIN IMPORT AND EXPORT","","Paola Mena","True","","","","","","","","Completado"
"__export__.x_productos_12588_285eba33","449460","JUGUETERIA","2022,2023","SET WALKIE TALKIE INFINITY WARS MARVEL","MARVEL","3100004494601","0","FORCE LINK (CHINA) LTD. SHANTOU YIFENG TRADING DEVELOPMENT","","Carolina Vega","True","True","","","","","","","No completado - En revisión"
"__export__.x_productos_12602_d7031b2a","497690","OFICINA Y LIBRERIA","2022,2023","PINCEL N12 PELO DE CAMELLO MANGO DE MADE","ART & CRAF","3100209010804","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12634_0ddea1ee","497700","OFICINA Y LIBRERIA","2022,2023","PINCEL N2 PELO DE CAMELLO MANGO DE MADER","ART & CRAF","3100293098917","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12642_b4a0e232","358693","OFICINA Y LIBRERIA","","LAPIZ GRAF TECNICO 2B HEXAG             ","FULTONS","","0","","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_12649_1beabcf3","448365","OFICINA Y LIBRERIA","","SACAPUNTA PLAST C/DEPOSITO 2 ORIF TRIANG","ART & CRAF","","0","","","Paola Mena","True","","","","","","","","Completado"
"__export__.x_productos_12654_d9bf51e4","101466","OFICINA Y LIBRERIA","2022","DISPENSADOR CINTA ADH ESCRIT F38 NEGRO","FULTONS","4147215308005","0","DESCONTINUADO","","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_12684_9153a309","448213","OFICINA Y LIBRERIA","","TIJERA ESCOLAR 5 1/2IN MANGO GOMA COLOR","ART & CRAF","3100004482134","0","","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12697_fd4e9c69","468968","OFICINA Y LIBRERIA","","SACAPUNTA PLAST CON DEPOSITO 2 ORIFICIOS","ART & CRAF","","0","BIG TREE TOYS (HK) LIMITED","","Paola Mena","True","","","","","","","","Completado"
"__export__.x_productos_12731_859bedf8","507705","OFICINA Y LIBRERIA","2022,2023","ALFILER METALICO 25 MM CROMADO 28 GR","LAVORO","","0","HUIZE INTERNATIONAL TRADING CO. LTD.","PRONOBEL/HUIZE INTERNATIONAL TRADING CO. LTD.","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_12742_236017f7","521273","OFICINA Y LIBRERIA","","LAPIZ GRAFITO TRIANGULAR HB N2 JUMBO","FULTONS","3100277473785","0","AW Enterprises Limited","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12743_30c6cbfd","393384","OFICINA Y LIBRERIA","","ACUARELA SOLIDA 16 COLORES MAS PINCEL   ","MURANO","3100003933842","0","HUIZE INTERNATIONAL TRADING CO. LTD.","PRONOBEL/HUIZE INTERNATIONAL TRADING CO. LTD.","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_12746_f1faa74f","409087","OFICINA Y LIBRERIA","2022","SACAPUNTA MET SIMPLE 2UN CUADR BLISTER  ","MURANO","3100004090872","0","NINGBO ANDY AND KEVIN IMPORT AND EXPORT","","Paola Mena","","","","","","","","","Completado"
"__export__.x_productos_12759_0df066ea","519606","COTILLON","2022,2023","BOLSA REG.NAVIDAD PEQUEÑA 13.5 X 11 CM","NOBEL GIFT","3100005196061","0","AG IMP & EXP","","Constanza Gaete","True","True","","","","","","","Completado"
"__export__.x_productos_12760_fc1109c2","507655","OFICINA Y LIBRERIA","2022","SACAPUNTA PLAST TRIANG 2 ORIF C/DEPOSITO","LAVORO","3100208335243","0","NINGBO ANDY AND KEVIN IMPORT AND EXPORT","","Paola Mena","True","","","","","","","","Completado"
"__export__.x_productos_12771_0e546949","445014","COTILLON","2022,2023","GUIRNALDA DIECIOCHERA FLOR 240 CM BIG PA","BIG PARTY","","0","FESTA","PRONOBEL/FESTA","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_12776_f8d015e2","497702","OFICINA Y LIBRERIA","2022","PINCEL N0 PELO DE CAMELLO MANGO DE MADER","ART & CRAF","3100291737115","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12810_02295f64","497714","OFICINA Y LIBRERIA","2022","PINCEL N 1 REDONDO MANGO PLASTICO","ART & CRAF","3100270380370","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12827_07944ad2","448368","OFICINA Y LIBRERIA","2022","SACAPUNTA C/GOMA 2 ORIFICIOS GRANDE","ART & CRAF","","0","NINGBO HI-TECH ZONE J AND J STATIONERY","PRONOBEL/NINGBO HI-TECH ZONE J AND J STATIONERY","Paola Mena","True","","","","","","","","Completado"
"__export__.x_productos_12840_43168cca","428912","HOGAR","2022,2023","TAZON 6 DISENOS EN CAJA MY LITTLE       ","HASBRO","3100004289122","0","Zibo International Economic & Technical Cooperation Co., Ltd","","Paola Piccinini","","True","","","","","","","Completado"
"__export__.x_productos_12865_c52aa351","105893","OFICINA Y LIBRERIA","2022","PINCEL RED PELO CAMELLO MANGO MADERA Nº2","FULTONS","4147717302006","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_12868_f1c1cdc8","409203","OFICINA Y LIBRERIA","2022,2023","PINCEL PELO CAM BLISTER 4 PC Nº3-5-7-9  ","MURANO","3100004092036","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_12869_fd2de77b","409204","OFICINA Y LIBRERIA","2022,2023","PINCEL ESPATULA BLISTER 4 PC Nº2-6-10-14","MURANO","3100004092043","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_12870_a9061c93","409205","OFICINA Y LIBRERIA","2022,2023","PINCEL ESPATULA BLISTER 4 PC Nº4-8-12-16","MURANO","3100004092050","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_12899_e2bcbc2c","462996","OFICINA Y LIBRERIA","2022,2023","SACAPUNTA PLAST CON DEPOSITO 2 ORIFICIOS","ART & CRAF","","0","NINGBO ANDY AND KEVIN IMPORT AND EXPORT","","Paola Mena","True","","","","","","","","Completado"
"__export__.x_productos_12928_79e4f235","503118","COTILLON","","ADORNO DIECIOCHERO CAMPANA GRANDE 33CM  ","BIG PARTY","3100233052382","0","","","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_12938_47f227e8","519607","COTILLON","","BOLSA REG.NAVIDAD GRANDE 36X26x12CM.","NOBEL GIFT","3100005196078","0","HUNAN FREE","","Constanza Gaete","True","True","","","","","","","Completado"
"__export__.x_productos_12943_4237406b","503121","COTILLON","","ADORNO DIECIOCHERO GLOBO GRANDE 33CM    ","BIG PARTY","3100260206062","0","AHCOF INTERNATIONAL","PRONOBEL/AHCOF INTERNATIONAL","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_12950_c764e919","445088","COTILLON","2022,2023","ADORNO DIECIOCHERO GLOBO GRANDE 33CM BIG","BIG PARTY","","0","WUHAN","PRONOBEL/WUHAN","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_12966_c53a1b07","503119","COTILLON","","ADORNO DIECIOCHERO COPIHUE GRANDE 33CM  ","BIG PARTY","3100243268285","0","ZHEJIANG DAXI PAPER","","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_12983_ea8813a2","432873","OFICINA Y LIBRERIA","2022,2023","LAMINA TERMOL JUMBO 80X115MM 175MIC 100U","LAVORO","","0","YULONG PLASTIC ADHESIVE PACKING PRODUCTS","PRONOBEL/YULONG PLASTIC ADHESIVE PACKING PRODUCTS","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_12994_6d06df60","369266","OFICINA Y LIBRERIA","2022,2023","CARPETA VINIL CTA ROJA","FULTONS","3100003692664","0","WENZHOU MIFIA IMP. & EXP. CO., LTD","PRONOBEL/WENZHOU MIFIA IMP. & EXP. CO., LTD","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_13001_b25555a5","393370","OFICINA Y LIBRERIA","2023","PINCEL RED PELO CAMELLO MANGO MADER Nº12","MURANO","3100853933702","0","","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_13002_e113ec07","393381","OFICINA Y LIBRERIA","2022,2023","PINCEL RED PELO CAMELLO MANGO MADERA Nº1","MURANO","3100853933818","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_13003_7d3e1d9f","393383","OFICINA Y LIBRERIA","2022,2023","PINCEL RED PELO CAMELLO MANGO MADER Nº11","MURANO","3100853933832","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_13019_6f2ae6ca","445078","COTILLON","2022,2023","ADORNO DIECIOCHERO BELLOTA CHICO 25CM BI","BIG PARTY","","0","WUHAN","PRONOBEL/WUHAN","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_13048_39bd8b59","477928","JUGUETERIA","2022","SET WALKIE TALKIE TOY STORY DISNEY","DISNEY","3100251743040","0","HANG WING PLASTIC INDUSTRY C.O","","Carolina Vega","True","True","","","","","","","Completado"
"__export__.x_productos_13057_ce8e751b","511432","OFICINA Y LIBRERIA","","DESTACADOR ESCRITORIO SET 3 UN BLISTER  ","MURANO","3100226181921","0","","","Sahira Aguado","","","","","","","","","Completado"
"__export__.x_productos_13059_bae6333d","497983","OFICINA Y LIBRERIA","2022,2023","MARCADOR PIZARRA RECARGABLE MORADO","LAVORO","3100267076002","0","NINGBO BAILE STATIONERY MANUFACTURE CO., LTD.","PRONOBEL/NINGBO BAILE STATIONERY MANUFACTURE CO., LTD.","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_13061_91ba6f05","523279","JUGUETERIA","","FLOTADOR CIRCULAR 50 CMS M&M DISNEY     ","DISNEY","3100005232790","0","DESCONTINUADO","","Carolina Vega","","True","","","","","","","Completado"
"__export__.x_productos_13077_803a1b4f","521333","OFICINA Y LIBRERIA","2022","ESTUCHE C/CIERRE P/MASCARILLA ROSA      ","LAVORO","3100202059053","0","FUJIAN NINGDE HUAFU IMP & EXP CORP.","PRONOBEL/FUZHOU PROWIN IMP AND EXP CO","Sahira Aguado","","","","","","","","","Completado"
"__export__.x_productos_13078_ac8c28ec","521335","OFICINA Y LIBRERIA","2022","ESTUCHE C/CIERRE P/MASCARILLA AZUL      ","LAVORO","3100257484282","0","FUJIAN NINGDE HUAFU IMP & EXP CORP.","PRONOBEL/FUZHOU PROWIN IMP AND EXP CO","Sahira Aguado","","","","","","","","","Completado"
"__export__.x_productos_13089_348a43a8","507703","OFICINA Y LIBRERIA","2022,2023","CORCHETES SEMI-INDUSTRIAL 23/8 LAVORO","LAVORO","3100252151301","0","HUIZE INTERNATIONAL TRADING CO. LTD.","PRONOBEL/HUIZE INTERNATIONAL TRADING CO. LTD.","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_13093_907d908e","497984","OFICINA Y LIBRERIA","2022","MARCADOR PIZARRA RECARGABLE NARANJA","LAVORO","3100266827896","0","NINGBO BAILE STATIONERY MANUFACTURE CO., LTD.","PRONOBEL/NINGBO BAILE STATIONERY MANUFACTURE CO., LTD.","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_13099_ede27187","519466","OFICINA Y LIBRERIA","2022","MARCADOR DE PIZARRA PTA RED. CELESTE","LAVORO","3100214072651","0","NINGBO BEIFA GROUP CO. LTD.","","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_13107_2e70ba33","445090","COTILLON","2022,2023","ADORNO 18 SOL CON DISE?O TRICOLOR BIG PA","BIG PARTY","","0","HUNAN FREE","PRONOBEL/HUNAN FREE","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_13111_62588f4f","519470","OFICINA Y LIBRERIA","2022,2023","MARCADOR DE PIZARRA PTA RED. MORADO","LAVORO","3100237243335","0","NINGBO BEIFA GROUP CO. LTD.","","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_13114_3b760738","445092","COTILLON","2022,2023","ADORNO DIECIOCHERO CAMPANA GIGANTE 53 CM","BIG PARTY","","0","FESTA","PRONOBEL/FESTA","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_13124_0293d9c7","413071","OFICINA Y LIBRERIA","2022,2023","TIJERA ESCOLAR MANUALIDADES 3UNI","ART & CRAF","","0","GANGRONG INDUSTRY TRADING CO LTD","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_13125_2b0981b8","445093","COTILLON","2022,2023","ADORNO DIECIOCHERO SOL GIGANTE 103 CM AB","BIG PARTY","","0","WUHAN","PRONOBEL/WUHAN","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_13132_545226ad","370407","OFICINA Y LIBRERIA","2022","PORTADA ENCUAD MICA OF 200MIC TRANS 10U ","LAVORO","3100003704077","0","NANTONG BUYER STATIONERY & SPORTING GOODS COMPANY","","Sahira Aguado","","True","","","","","","","Completado"
"__export__.x_productos_13138_42d600ab","445091","COTILLON","2022,2023","ADORNO DIECIOCHERO COPIHUE GIGANTE 51CM ","BIG PARTY","","0","FESTA","PRONOBEL/FESTA","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_13172_06de3df2","523399","OFICINA Y LIBRERIA","2022,2023","DESTACADOR ESCRITOR PTA.BISEL.LILA METAL","LAVORO","3100213292210","0","FUJIAN NINGDE HUAFU IMP & EXP CORP.","PRONOBEL/FUZHOU PROWIN IMP AND EXP CO","Sahira Aguado","","","","","","","","","Completado"
"__export__.x_productos_13182_6888795e","521331","OFICINA Y LIBRERIA","2022","ESTUCHE C/CIERRE P/MASCARILLA AMARILL   ","LAVORO","3100203276787","0","FUJIAN NINGDE HUAFU IMP & EXP CORP.","PRONOBEL/FUZHOU PROWIN IMP AND EXP CO","Sahira Aguado","","","","","","","","","Completado"
