"id","name","familia_de_partes","producto","descripcion","indice_reciclabilidad","peso_informado","categoria_elemento","tipo_de_parte","es_domiciliario","caracteristicas_reciclable","caracteristicas_retornable","peligrosidad","maetrial","composicion_material","caracteristicas_compostable","caracteristicas_material","producto_por_envase","proporcion_por_envase","tipo_raee","tipo_de_pila","cantidad_pilas","tipo_bateria","name_bateria","tipo_aceite_lubricante","volumen","tipo_neumatico","cantidad_neumatico","material_textil",ratio_textil
"__export__.x_materialidad_1858_0c6d819f","   PAPER","ENVOLTURAS-PROTECCIÓN-SOPORTE-RELLENO-SLEEVER-TERMOCONTRAIBLE","20432986","PR SET 4 CINTAS ADHES TRANSPARENTES 1.8CM OFISCOOL","0","5","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Papel",,"no aplica","rigido","1","0.166666666666667",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1861_307a04c2","TAPE","CINTA ADHESIVA- PEGAMENTOS-TAPE","20432986","PR SET 4 CINTAS ADHES TRANSPARENTES 1.8CM OFISCOOL","0","30","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","575","0.1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1857_6611528b"," DOUBLE BLISTER ","CUALQUIER TIPO DE BLISTERS - VENTANAS","20432986","PR SET 4 CINTAS ADHES TRANSPARENTES 1.8CM OFISCOOL","0","25","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","(3)PVC",,"no aplica","rigido","1","0.833333333333333",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1487_18a18087","BOX","CAJA","20366863","(D)PRG SET 3 WASHI TAPE","0","1200","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","144","1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1485_938c761e","BLISTER ","CUALQUIER TIPO DE BLISTERS - VENTANAS","20366863","(D)PRG SET 3 WASHI TAPE","0","5","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","(3)PVC",,"no aplica","rigido","1","0.625",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1486_2162821d","HANGING CARD","TARJETA -CARD","20366863","(D)PRG SET 3 WASHI TAPE","0","3","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.375",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1488_a7250bf2","BOX","CAJA","20366863","(D)PRG SET 3 WASHI TAPE","0","48000","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","2880","0.993171942892613",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1489_440cdaee","adhesive tape","CINTA ADHESIVA- PEGAMENTOS-TAPE","20366863","(D)PRG SET 3 WASHI TAPE","0","30","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","2880","0.000620732464307883",,,"0",,,,"0",,"0",,0
"__export__.levantamiento_rep_materialidad_117562_717c28b1","prueba aceite lubricante","TARJETA -CARD","20397102",,"0","8888888","EYE Domiciliario",,"0",,,,,,,,"0","0",,,"0",,,"Aceites Lubricantes No Recuperables","20",,"0",,0
"__export__.x_materialidad_1512_20487604","CARTON","CAJA","20397102","(D)SET 3 WASHI TAPE UNICORNIO","0","2000","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","500","0.985221674876847",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1510_85932f6f","inlay card","TARJETA -CARD","20397102","(D)SET 3 WASHI TAPE UNICORNIO","0","1","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.166666666666667",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1509_5003a9ab","blister","CUALQUIER TIPO DE BLISTERS - VENTANAS","20397102","(D)SET 3 WASHI TAPE UNICORNIO","0","5","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Otros envases PET (1)",,"no aplica","rigido","1","0.833333333333333",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1511_e1187273","PDQ","CAJA","20397102","(D)SET 3 WASHI TAPE UNICORNIO","0","6000","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","50","1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1889_9944b094","BOX","CAJA","20432982","PR COLA FRIA 250 ML OFISCOOL","0","270","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","575","0.9",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1888_edad04b5","PDQ","CAJA","20432982","PR COLA FRIA 250 ML OFISCOOL","0","5750","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","575","1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1890_6fb755be","TAPE","CINTA ADHESIVA- PEGAMENTOS-TAPE","20432982","PR COLA FRIA 250 ML OFISCOOL","0","30","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","575","0.1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1887_8bfbec17","DOUBLE BLISTER CARD ","CUALQUIER TIPO DE BLISTERS - VENTANAS","20432982","PR COLA FRIA 250 ML OFISCOOL","0","60","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","rigido","1","0.952380952380952",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1733_4dfab79c","DOY PACK","DOYPACKS","20455589","PR SET 2 CORRECTOR CINTA OFISCOOL 2021","0","10","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","(3)PVC",,"no aplica","rigido","1","0.666666666666667",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1735_6067f9d7","PDQ","CAJA","20455589","PR SET 2 CORRECTOR CINTA OFISCOOL 2021","0","575","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","60","1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1736_aa7a202c","BOX","CAJA","20455589","PR SET 2 CORRECTOR CINTA OFISCOOL 2021","0","270","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","300","0.9",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1737_f4988556","TAPE","CINTA ADHESIVA- PEGAMENTOS-TAPE","20455589","PR SET 2 CORRECTOR CINTA OFISCOOL 2021","0","30","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","300","0.1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1734_3808626a","NOZZLE","TARJETA -CARD","20455589","PR SET 2 CORRECTOR CINTA OFISCOOL 2021","0","5","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.333333333333333",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_63558_8ff0190f","Shrink Pack","ENVOLTURAS-PROTECCIÓN-SOPORTE-RELLENO-SLEEVER-TERMOCONTRAIBLE","20455558","BLOCK DE HOJAS COLORES DIBUJO A4 50H 2021","0","12","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","1","0.923076923076923",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_63560_998382d7","Master carton","CAJA","20455558","BLOCK DE HOJAS COLORES DIBUJO A4 50H 2021","0","500","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","48","0.984251968503937",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_63561_0ec5f18b","Tape ","CINTA ADHESIVA- PEGAMENTOS-TAPE","20455558","BLOCK DE HOJAS COLORES DIBUJO A4 50H 2021","0","8","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","48","0.015748031496063",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_63559_8f78bc34","PDQ box","CAJA","20455558","BLOCK DE HOJAS COLORES DIBUJO A4 50H 2021","0","400","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","24","1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_63564_49de8fdc","PDQ","CAJA","20456462","MPR SET ESCOLAR 6 PIEZAS DESTACADOR 2021","0","575","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","60","1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_63565_c80f0f5f","BOX","CAJA","20456462","MPR SET ESCOLAR 6 PIEZAS DESTACADOR 2021","0","270","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","300","0.0627906976744186",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_63566_87859202","TAPE","CINTA ADHESIVA- PEGAMENTOS-TAPE","20456462","MPR SET ESCOLAR 6 PIEZAS DESTACADOR 2021","0","30","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","rigido","300","0.00697674418604651",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_63563_1c9dfced","NOZZLE","TARJETA -CARD","20456462","MPR SET ESCOLAR 6 PIEZAS DESTACADOR 2021","0","5","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1794_06a88e54","BOX","CAJA","20434437","SET DE 3 MALETAS MORADAS 4 RUEDAS","0","2000","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","1","0.99009900990099",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1792_7daa3826","HANGTAG","ETIQUETA","20434437","SET DE 3 MALETAS MORADAS 4 RUEDAS","0","3","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.75",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_3581_80994ace","adhesive tape","CINTA ADHESIVA- PEGAMENTOS-TAPE","20434437","SET DE 3 MALETAS MORADAS 4 RUEDAS","0","20","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","1","0.0099009900990099",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1793_3b98a36b","POLYBAG","BOLSAS","20434437","SET DE 3 MALETAS MORADAS 4 RUEDAS","0","1","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","1","0.25",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1785_f58472a9","BOX","CAJA","20434434","SET DE 3 MALETAS NEGRAS 4 RUEDAS","0","2000","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","1","0.99009900990099",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_3582_41199821","adhesive tape","CINTA ADHESIVA- PEGAMENTOS-TAPE","20434434","SET DE 3 MALETAS NEGRAS 4 RUEDAS","0","20","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","1","0.0099009900990099",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1783_4e0535a8","HANGTAG","ETIQUETA","20434434","SET DE 3 MALETAS NEGRAS 4 RUEDAS","0","3","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.75",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1784_e30f4c58","POLYBAG","BOLSAS","20434434","SET DE 3 MALETAS NEGRAS 4 RUEDAS","0","1","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","1","0.25",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1787_c8c78a75","POLYBAG","BOLSAS","20434435","SET DE 3 MALETAS ROJAS 4 RUEDAS","0","1","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","1","0.25",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_3583_304d5af9","adhesive tape","CINTA ADHESIVA- PEGAMENTOS-TAPE","20434435","SET DE 3 MALETAS ROJAS 4 RUEDAS","0","20","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","1","0.0099009900990099",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1788_0fb42b92","BOX","CAJA","20434435","SET DE 3 MALETAS ROJAS 4 RUEDAS","0","2000","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","1","0.99009900990099",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1786_62806472","HANGTAG","ETIQUETA","20434435","SET DE 3 MALETAS ROJAS 4 RUEDAS","0","3","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.75",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1771_33ff96fc","HANGTAG","ETIQUETA","20434436","SET DE 3 MALETAS AZULES 4 RUEDAS","0","3","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.75",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1772_76b7cdac","POLYBAG","BOLSAS","20434436","SET DE 3 MALETAS AZULES 4 RUEDAS","0","1","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","1","0.25",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_3584_b083561a","adhesive tape","CINTA ADHESIVA- PEGAMENTOS-TAPE","20434436","SET DE 3 MALETAS AZULES 4 RUEDAS","0","20","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","1","0.0099009900990099",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1773_20dd2955","BOX","CAJA","20434436","SET DE 3 MALETAS AZULES 4 RUEDAS","0","2000","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","1","0.99009900990099",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_3589_c41356ab","adhesive tape","CINTA ADHESIVA- PEGAMENTOS-TAPE","20433240","MOCHILA INFANTIL UNICORNIO","0","20","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","24","0.0196078431372549",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1780_13f32324","hangtag","ETIQUETA","20433240","MOCHILA INFANTIL UNICORNIO","0","5","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.333333333333333",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1781_c78e52fa","BAG","BOLSAS","20433240","MOCHILA INFANTIL UNICORNIO","0","10","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","1","0.666666666666667",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1782_a4ac108a","BOX","CAJA","20433240","MOCHILA INFANTIL UNICORNIO","0","1000","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","24","0.980392156862745",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1806_209c39d1","BAG","BOLSAS","20433237","MOCHILA INFANTIL TIBURON","0","10","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","1","0.666666666666667",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_3590_b889ce39","adhesive tape","CINTA ADHESIVA- PEGAMENTOS-TAPE","20433237","MOCHILA INFANTIL TIBURON","0","20","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","24","0.0196078431372549",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1805_2663c3e9","hangtag","ETIQUETA","20433237","MOCHILA INFANTIL TIBURON","0","5","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.333333333333333",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1807_942075d7","BOX","CAJA","20433237","MOCHILA INFANTIL TIBURON","0","1000","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","24","0.980392156862745",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_3591_5a1caa71","adhesive tape","CINTA ADHESIVA- PEGAMENTOS-TAPE","20433238","MOCHILA INFANTIL DINO","0","20","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","24","0.0196078431372549",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1813_a5da57c5","BOX","CAJA","20433238","MOCHILA INFANTIL DINO","0","1000","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","24","0.980392156862745",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1811_4cf1cfb7","hangtag","ETIQUETA","20433238","MOCHILA INFANTIL DINO","0","5","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.333333333333333",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1812_b112d721","BAG","BOLSAS","20433238","MOCHILA INFANTIL DINO","0","10","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","1","0.666666666666667",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1809_c7f809c3","BAG","BOLSAS","20433239","MOCHILA INFANTIL GATO","0","10","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","1","0.666666666666667",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1810_6a3e220b","BOX","CAJA","20433239","MOCHILA INFANTIL GATO","0","1000","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","24","0.980392156862745",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_3592_90a13eaf","adhesive tape","CINTA ADHESIVA- PEGAMENTOS-TAPE","20433239","MOCHILA INFANTIL GATO","0","20","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","24","0.0196078431372549",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1808_7f13544f","hangtag","ETIQUETA","20433239","MOCHILA INFANTIL GATO","0","5","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.333333333333333",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1800_9cc5a5cb","BOX","CAJA","20433233","MOCHILA REGULAR NEGRA","0","1000","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","20","0.980392156862745",,,"0",,,,"0",,"0",,0
